ticker,companyShortName,startDateTime,startDateTimeType,surprisePercent,rank
BBBY,Bed Bath & Beyond Inc.,2020-04-14 17:00:00,TNS,88.12,40213
FE,FirstEnergy Corp.,2020-04-22 17:00:00,TNS,4.6,39906
SPWH,"Sportsman's Warehouse Holdings, Inc.",2020-03-25 17:00:00,TNS,9.95,39894
ERIC,Telefonaktiebolaget LM Ericsson (publ),2020-04-21 17:00:00,TNS,-2.44,39355
BX,The Blackstone Group Inc.,2020-04-22 17:00:00,TNS,-8.0,39348
XLNX,"Xilinx, Inc.",2020-04-21 17:00:00,TNS,9.33,39286
ISRG,"Intuitive Surgical, Inc.",2020-04-15 17:00:00,TNS,5.74,38961
STX,Seagate Technology plc,2020-04-21 17:00:00,TNS,5.99,37350
ERJ,Embraer S.A.,2020-04-03 17:00:00,TNS,-332.2,36345
BLK,"BlackRock, Inc.",2020-04-15 17:00:00,TNS,3.76,36151
KMB,Kimberly-Clark Corporation,2020-04-21 17:00:00,TNS,7.68,36066
ORMP,Oramed Pharmaceuticals Inc.,2020-04-05 17:00:00,TNS,-20.0,35981
TXN,Texas Instruments Incorporated,2020-04-20 17:00:00,TNS,23.75,35972
PLAY,"Dave & Buster's Entertainment, Inc.",2020-04-01 17:00:00,TNS,15.94,35711
GTBIF,Green Thumb Industries Inc.,2020-03-29 17:00:00,TNS,-50.0,35504
ASML,ASML Holding N.V.,2020-04-14 17:00:00,TNS,-23.7,35101
AEZS,Aeterna Zentaris Inc.,2020-03-29 17:00:00,TNS,,35091
SIG,Signet Jewelers Limited,2020-03-25 17:00:00,TNS,5.76,34985
RH,RH,2020-03-29 17:00:00,TNS,3.62,34346
MKC,"McCormick & Company, Incorporated",2020-03-30 17:00:00,TNS,4.65,34186
AIM,AIM ImmunoTech Inc.,2020-03-29 17:00:00,TNS,63.78,34049
BEAM,Beam Therapeutics Inc.,2020-03-29 17:00:00,TNS,-754.68,33788
TER,"Teradyne, Inc.",2020-04-20 17:00:00,TNS,14.03,32934
